Player,Team,ERA,Innings Pitched,Earned Runs,Walks,Strikeouts,SO/BB Ratio
Garrett Crochet,BOS,2.39,120.1,32,34,151,4.44
Logan Webb,SFG,2.62,120.1,35,27,133,4.93
Max Fried,NYY,2.27,119,30,24,111,4.63
Paul Skenes,PIT,1.94,116,25,30,125,4.17
Tarik Skubal,DET,2.02,116,26,14,148,10.57
Zack Wheeler,PHI,2.17,116,28,25,148,5.92
Framber Valdez,HOU,2.9,115,37,41,115,2.8
Jose Berrios,TOR,3.53,112.1,44,39,96,2.46
Carlos Rodon,NYY,3.3,111.2,41,40,127,3.18
Zack Littell,TBR,3.5,110.2,43,15,76,5.07
Spencer Schwellenbach,ATL,3.09,110.2,38,18,108,6
Zac Gallen,ARI,5.15,110,63,43,107,2.49
Luis Severino,ATH,5.3,108.2,64,36,73,2.03
Cristopher Sanchez,PHI,2.59,107.2,31,29,116,4
