Player,Conference,Team,Age,Pos,PPG,RPG,APG
Jabari Smith Jr.,West,HOU,21,PF,12.3,7,1.1
Amir Coffey,West,LAC,27,SG,9.7,2.2,1.1
Kyle Filipowski,West,UTA,21,C,9.6,6.1,1.9
Matas Buzelis,East,CHI,20,SF,8.6,3.5,1
Jrue Holiday,East,BOS,34,PG,11.1,4.3,3.9
Tari Eason,West,HOU,23,PF,12,6.4,1.5
Royce O'Neale,West,PHO,31,SF,9.1,4.7,2.2
Grayson Allen,West,PHO,29,SG,10.6,3,2.1
Bobby Portis,East,MIL,29,PF,13.9,8.4,2.1
Jalen Johnson,East,ATL,23,SF,18.9,10,5
Terry Rozier,East,MIA,30,PG,10.6,3.7,2.6
Jerami Grant,West,POR,30,PF,14.4,3.5,2.1
Kentavious Caldwell-Pope,East,ORL,31,SG,8.7,2.2,1.8
Mark Williams,East,CHO,23,C,15.3,10.2,2.5
Ochai Agbaji,East,TOR,24,SG,10.4,3.8,1.5
Keon Ellis,West,SAC,25,SG,8.3,2.7,1.5
Yves Missi,West,NOP,20,C,9.1,8.2,1.4
Paul George,East,PHI,34,PF,16.2,5.3,4.3
Taurean Prince,East,MIL,30,SF,8.2,3.6,1.9
Andrew Nembhard,East,IND,25,SG,10.1,3.3,5
Walker Kessler,West,UTA,23,C,11.1,12.2,1.7
Isaiah Hartenstein,West,OKC,26,C,11.2,10.7,3.8
Ziaire Williams,East,BRK,23,SF,10,4.6,1.3
Cole Anthony,East,ORL,24,PG,9.4,3,2.9
Wendell Carter Jr.,East,ORL,25,C,9.1,7.2,2
Jeremy Sochan,West,SAS,21,PF,11.4,6.5,2.4
Isaiah Collier,West,UTA,20,PG,8.7,3.3,6.3
Draymond Green,West,GSW,34,PF,9,6.1,5.6
Miles McBride,East,NYK,24,PG,9.6,2.5,2.9
Zach Edey,West,MEM,22,C,9.2,8.3,1
Sam Hauser,East,BOS,27,PF,8.5,3.2,0.9
Jordan Hawkins,West,NOP,22,SG,10.8,2.8,1.2
Jordan Clarkson,West,UTA,32,SG,16.2,3.2,3.7
Cam Thomas,East,BRK,23,SG,24,3.3,3.8
Kel'el Ware,East,MIA,20,C,9.3,7.4,0.9
Ausar Thompson,East,DET,22,SF,10.1,5.1,2.3
Nick Smith Jr.,East,CHO,20,SG,9.9,2.1,2.4
Kyshawn George,East,WAS,21,SG,8.7,4.2,2.5
Julian Strawther,West,DEN,22,SG,9.1,2.2,1.3
Mike Conley,West,MIN,37,PG,8.2,2.6,4.5
Jose Alvarado,West,NOP,26,PG,10.3,2.4,4.6
Luke Kennard,West,MEM,28,SG,8.9,2.8,3.3
Deandre Ayton,West,POR,26,C,14.4,10.2,1.6
Johnny Juzang,West,UTA,23,SG,8.9,2.9,1.1
Jaime Jaquez Jr.,East,MIA,23,SF,8.6,4.4,2.5
Cason Wallace,West,OKC,21,SG,8.4,3.4,2.5
Brandon Miller,East,CHO,22,SF,21,4.9,3.6
Jalen Suggs,East,ORL,23,PG,16.2,4,3.7
Patrick Williams,East,CHI,23,PF,9,3.8,2
Ayo Dosunmu,East,CHI,25,SG,12.3,3.5,4.5
Immanuel Quickley,East,TOR,25,PG,17.1,3.5,5.8
Dalano Banton,West,POR,25,PG,8.3,2,2.4
Peyton Watson,West,DEN,22,SF,8.1,3.4,1.4
Justin Champagnie,East,WAS,23,SF,8.8,5.7,1
Dejounte Murray,West,NOP,28,PG,17.5,6.5,7.4
A.J. Green,East,MIL,25,SG,7.4,2.4,1.5
Aaron Nesmith,East,IND,25,SF,12,4,1.2
Al Horford,East,BOS,38,C,9,6.2,2.1
Brandon Clarke,West,MEM,28,PF,8.3,5.1,1
Jamal Shead,East,TOR,22,PG,7.1,1.5,4.2
Tristan Da Silva,East,ORL,23,SF,7.2,3.3,1.5
Ricky Council IV,East,PHI,23,SF,7.3,2.9,1.3
Jaden Ivey,East,DET,22,SG,17.6,4.1,4
Jalen Smith,East,CHI,24,C,8.2,5.6,1
Tyrese Martin,East,BRK,25,SG,8.7,3.7,2
Ron Holland,East,DET,19,SF,6.4,2.7,1
Ryan Dunn,West,PHO,22,SF,6.9,3.6,0.8
Sam Merrill,East,CLE,28,SG,7.2,2.2,1.5
Josh Green,East,CHO,24,SG,7.4,2.5,1.6
Goga Bitadze,East,ORL,25,C,7.2,6.6,2
Chris Boucher,East,TOR,32,PF,10,4.5,0.7
Cameron Payne,East,NYK,30,PG,6.9,1.4,2.8
Jaden Hardy,West,DAL,22,SG,8.7,1.6,1.4
Nikola Jovi?,East,MIA,21,PF,10.7,3.9,2.8
Clint Capela,East,ATL,30,C,8.9,8.5,1.1
Chet Holmgren,West,OKC,22,C,15,8,2
Haywood Highsmith,East,MIA,28,SF,6.5,3.4,1.5
Cam Whitmore,West,HOU,20,SF,9.4,3,1
Kris Dunn,West,LAC,30,PG,6.4,3.4,2.8
Max Strus,East,CLE,28,SF,9.4,4.3,3.2
Jarace Walker,East,IND,21,PF,6.2,3.1,1.5
Gabe Vincent,West,LAL,28,PG,6.4,1.3,1.4
Joel Embiid,East,PHI,30,C,23.8,8.2,4.5
Trey Lyles,West,SAC,29,PF,6.5,4.6,1.2
Trendon Watford,East,BRK,24,PF,10.2,3.6,2.6
Ja'Kobe Walter,East,TOR,20,SG,8.6,3.1,1.6
Brandon Boston Jr.,West,NOP,23,SG,10.7,3.2,2.2
Simone Fontecchio,East,DET,29,SF,6,2.9,0.9
Justin Edwards,East,PHI,21,SF,10.1,3.4,1.6
Seth Curry,East,CHO,34,SG,6.5,1.7,0.9
Luke Kornet,East,BOS,29,C,6,5.3,1.6
Jay Huff,West,MEM,26,C,6.9,2,0.6
Kenrich Williams,West,OKC,30,PF,6.3,3.5,1.4
